ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
69494;Abja-Paluoja postipunkt;1;EE;Viljandi maakond;Mulgi vald;Abja-Paluoja linn;;Pärnu mnt;;21;;25.353927;58.126151;E,T,K,N,R 09:00-17:00 L,P SULETUD;;;;;;;;;;2025-04-15T09:59:36.050+03:00
66494;Antsla postipunkt;1;EE;Võru maakond;Antsla vald;Antsla linn;;Jaani tn;;4;;26.527581;57.828993;"T,K,N 09:00-15:00 E,R,L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:47:46.637+03:00
11701;Arsenali postkontor;1;EE;Harju maakond;Tallinn;Põhja-Tallinna linnaosa;;Erika tn;;14;;24.717816;59.451722;"E,T,K,N,R 10:00-20:00 L 10:00-16:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:23:19.480+03:00
43494;Aseri postipunkt;1;EE;Lääne-Viru maakond;Viru-Nigula vald;Aseri alevik;;Keskpõik;;2;;26.869575;59.452887;"E 13:30-17:30 T,K,N 10:00-14:00 R 12:00-16:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T10:21:43.957+03:00
50600;Eedeni postkontor;1;EE;Tartu maakond;Tartu linn;Tartu linn;;Kalda tee;;1c;;26.748826;58.373434;"E,T,K,N,R 10:00-19:00 L 10:00-15:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:23:57.080+03:00
61599;Elva postipunkt;1;EE;Tartu maakond;Elva vald;Elva linn;;Puiestee tn;;1;;26.406515;58.221024;E 10:00-17:00 T 10:00-16:00 K 13:00-18:00 N,R,L,P SULETUD;;;;;;;;;;2025-05-05T13:14:14.760+03:00
20399;Fama postkontor;1;EE;Ida-Viru maakond;Narva linn;;;Fama tn;;10;;28.188354;59.38051;"E,T,K,N,R 10:00-19:00 L 10:00-15:00 P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:24:35.857+03:00
90501;Haapsalu postkontor;1;EE;Lääne maakond;Haapsalu linn;Haapsalu linn;;Nurme tn;;2;;23.543124;58.941265;"E,T,K,N,R 10:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-04-15T09:25:13.653+03:00
79697;Hagudi postipunkt;1;EE;Rapla maakond;Rapla vald;Hagudi alevik;;Kooli tn;;1;;24.808493;59.064609;E,T,N,R 10:00-18:00 K 15:00-18:00 L,P SULETUD;;;;;;;;;;2025-04-15T14:45:10.540+03:00
31001;Iidla postipunkt;1;EE;Ida-Viru maakond;Kohtla-Järve linn;Ahtme linnaosa;;Maleva tn;;23;;27.420584;59.327394;"E,T,K,N,R 10:00-18:00 L,P SULETUD;Ligipääs ratastooliga";;;;;;;;;;2025-05-19T12:27:01.697+03:00
41194;Iisaku postipunkt;1;EE;Ida-Viru maakond;Alutaguse vald;Iisaku alevik;;Tartu mnt;;46;;27.310516;59.099539;"E,T,N,R,P 10:00-16:00 K,L SULETUD;Ligipääs ratastooliga";;;;;;;;;;2024-12-19T10:20:20.200+02:00
