ZIP;NAME;TYPE;A0_NAME;A1_NAME;A2_NAME;A3_NAME;A4_NAME;A5_NAME;A6_NAME;A7_NAME;A8_NAME;X_COORDINATE;Y_COORDINATE;SERVICE_HOURS;TEMP_SERVICE_HOURS;TEMP_SERVICE_HOURS_UNTIL;TEMP_SERVICE_HOURS_2;TEMP_SERVICE_HOURS_2_UNTIL;comment_est;comment_eng;comment_rus;comment_lav;comment_lit;MODIFIED
96331;1. eelistus/Picapac pakiautomaat;0;EE;;1. eelistus Omnivas;;;1. eelistus Omnivas;;;;24.793373;59.430318;;;;;;;;;;;2023-09-12T10:18:52.167+03:00
96243;Abja Coop Konsumi pakiautomaat;0;EE;Viljandi maakond;Mulgi vald;Abja-Paluoja linn;;Pärnu mnt;;13;;25.355809;58.125803;;;;;;;;;;;2025-01-08T12:04:56.990+02:00
96280;Aegviidu Meie kaupluse pakiautomaat;0;EE;Harju maakond;Anija vald;Aegviidu alev;;Piibe mnt;;8;;25.606367;59.288383;;;;;;;;;;;2025-01-08T10:51:45.203+02:00
96389;Ahtme Estonia pst Grossi pakiautomaat;0;EE;Ida-Viru maakond;Kohtla-Järve linn;Ahtme linnaosa;;Estonia pst;;30a;;27.42628;59.329987;;;;;;;;;;;2025-01-09T16:23:24.327+02:00
96142;Ahtme Maleva Grossi pakiautomaat;0;EE;Ida-Viru maakond;Kohtla-Järve linn;Ahtme linnaosa;;Maleva tn;;23;;27.420557;59.327631;;;;;;;;;;;2025-03-05T08:16:30.967+02:00
96123;Ahtme Maxima XX pakiautomaat;0;EE;Ida-Viru maakond;Kohtla-Järve linn;Ahtme linnaosa;;Puru tee;;77;;27.420083;59.337433;;;;;;;;;;;2025-01-17T13:48:47.187+02:00
96401;Ala Coop kaupluse pakiautomaat;0;EE;Valga maakond;Tõrva vald;Ala küla;;;Ala kauplus;;;25.701641;58.009962;;;;;;;;;;;2025-01-10T13:31:21.567+02:00
96287;Alatskivi Coop Konsumi pakiautomaat;0;EE;Tartu maakond;Peipsiääre vald;Alatskivi alevik;;Lossi tn;;1a;;27.132467;58.600633;;;;;;;;;;;2025-01-08T10:54:54.537+02:00
96367;Alavere pakiautomaat;0;EE;Harju maakond;Anija vald;Alavere küla;;Oja tn;;1;;25.328394;59.245228;;;;;;;;;;;2025-01-09T16:16:06.767+02:00
96118;Antsla Coop Konsumi pakiautomaat;0;EE;Võru maakond;Antsla vald;Antsla linn;;F. R. Kreutzwaldi tn;;4a;;26.529852;57.828349;;;;;;;;;;;2025-01-17T13:47:18.087+02:00
96230;Aravete Meie kaupluse pakiautomaat;0;EE;Järva maakond;Järva vald;Aravete alevik;;Piibe mnt;;16;;25.751629;59.144507;;;;;;;;;;;2025-01-08T11:58:45.543+02:00
96328;Are pakiautomaat;0;EE;Pärnu maakond;Tori vald;Are alevik;;Pärivere tee;;17;;24.564522;58.518677;;;;;;;;;;;2025-01-09T15:21:23.707+02:00
96204;Aruküla Coop Konsumi pakiautomaat;0;EE;Harju maakond;Raasiku vald;Aruküla alevik;;Tallinna mnt;;8;;25.078314;59.370973;;;;;;;;;;;2025-03-28T15:01:03.870+02:00
96211;Aseri Grossi pakiautomaat;0;EE;Lääne-Viru maakond;Viru-Nigula vald;Aseri alevik;;Tehase tn;;23;;26.866788;59.44963;;;;;;;;;;;2025-01-08T11:52:57.910+02:00
96238;Audru osavallakeskuse pakiautomaat;0;EE;Pärnu maakond;Pärnu linn;Audru alevik;;Pärna allee;;7;;24.356293;58.40785;;;;;;;;;;;2025-01-08T12:03:52.093+02:00
96363;Avinurme pakiautomaat;0;EE;Jõgeva maakond;Mustvee vald;Avinurme alevik;;Võidu tn;;2;;26.864595;58.984656;;;;;;;;;;;2025-01-09T15:32:42.903+02:00
96179;Elva Arbimäe Coop Konsumi pakiautomaat;0;EE;Tartu maakond;Elva vald;Elva linn;;Kirde tn;;3;;26.414144;58.234123;;;;;;;;;;;2025-01-08T11:37:59.503+02:00
96047;Elva Turuplatsi Coop Konsumi pakiautomaat;0;EE;Tartu maakond;Elva vald;Elva linn;;Kesk tn;;1;;26.408822;58.221047;;;;;;;;;;;2025-01-17T11:25:23.480+02:00
96206;Haabneeme Coop Konsumi pakiautomaat;0;EE;Harju maakond;Viimsi vald;Haabneeme alevik;;Rohuneeme tee;;32;;24.819772;59.512901;;;;;;;Accepts same-day deliveries from Tallinn;;;;2025-01-08T11:51:16.233+02:00
96362;Haanja pakiautomaat;0;EE;Võru maakond;Rõuge vald;Haanja küla;;Võru tee;;15;;27.051903;57.718815;;;;;;;;;;;2025-01-09T15:32:22.593+02:00
96128;Haapsalu Kastani pakiautomaat;0;EE;Lääne maakond;Haapsalu linn;Haapsalu linn;;Kuuse tn;;28;;23.551852;58.936246;;;;;;;;;;;2025-04-10T04:00:13.730+03:00
96033;Haapsalu Kaubamaja pakiautomaat;0;EE;Lääne maakond;Haapsalu linn;Haapsalu linn;;Tallinna mnt;;1;;23.541928;58.940735;;;;;;;;;;;2025-01-17T11:20:15.840+02:00
96382;Haaslava Meie kaupluse pakiautomaat;0;EE;Tartu maakond;Kastre vald;Haaslava küla;;Jõe tn;;1;;26.80194;58.324244;;;;;;;;;;;2025-01-09T16:21:29.080+02:00
